"lon","lat","group","income","geoid","inc_level"
-122.682854891792,45.5236436859458,91,87727,"14000US41051000100","normal"
-122.682805891468,45.523534686144,91,87727,"14000US41051000100","normal"
-122.683106889063,45.5229916853788,91,87727,"14000US41051000100","normal"
-122.683143888505,45.5229256850796,91,87727,"14000US41051000100","normal"
-122.684080890029,45.522888681845,91,87727,"14000US41051000100","normal"
-122.685289892728,45.5228966775063,91,87727,"14000US41051000100","normal"
-122.685800894301,45.5228896755541,91,87727,"14000US41051000100","normal"
-122.685929893536,45.5228876752384,91,87727,"14000US41051000100","normal"
-122.686098894769,45.5228856743651,91,87727,"14000US41051000100","normal"
-122.686354894346,45.5228826732213,91,87727,"14000US41051000100","normal"
-122.6865608946,45.5228796724081,91,87727,"14000US41051000100","normal"
-122.687213896785,45.5228706703183,91,87727,"14000US41051000100","normal"
-122.687504896899,45.5228826694096,91,87727,"14000US41051000100","normal"
-122.688214899006,45.5229126667992,91,87727,"14000US41051000100","normal"
-122.688214898129,45.5229366668214,91,87727,"14000US41051000100","normal"
-122.688222901726,45.5235486666177,91,87727,"14000US41051000100","normal"
-122.688228902795,45.5236546665102,91,87727,"14000US41051000100","normal"
-122.688262906848,45.5242696672541,91,87727,"14000US41051000100","normal"
-122.688279910753,45.5249806666539,91,87727,"14000US41051000100","normal"
-122.688306914477,45.5256936673656,91,87727,"14000US41051000100","normal"
-122.688332918544,45.5264056670985,91,87727,"14000US41051000100","normal"
-122.688359922332,45.5271186675328,91,87727,"14000US41051000100","normal"
-122.689373924054,45.527100663432,91,87727,"14000US41051000100","normal"
-122.689399928101,45.5278126638057,91,87727,"14000US41051000100","normal"
-122.689426931878,45.5285256639715,91,87727,"14000US41051000100","normal"
-122.689456935995,45.529231663928,91,87727,"14000US41051000100","normal"
-122.689479939952,45.5299516640267,91,87727,"14000US41051000100","normal"
-122.690493942177,45.5299326599349,91,87727,"14000US41051000100","normal"
-122.690506944213,45.5302696602663,91,87727,"14000US41051000100","normal"
-122.690520945376,45.5306456606041,91,87727,"14000US41051000100","normal"
-122.690546950239,45.5313586603605,91,87727,"14000US41051000100","normal"
-122.690573953502,45.5320716607507,91,87727,"14000US41051000100","normal"
-122.690588956356,45.532489660192,91,87727,"14000US41051000100","normal"
-122.690599958404,45.5327846602283,91,87727,"14000US41051000100","normal"
-122.692631961765,45.5327496527176,91,87727,"14000US41051000100","normal"
-122.693971963971,45.5327306485019,91,87727,"14000US41051000100","normal"
-122.694656965915,45.53270964531,91,87727,"14000US41051000100","normal"
-122.694683968957,45.5334226454598,91,87727,"14000US41051000100","normal"
-122.694709973648,45.534135645632,91,87727,"14000US41051000100","normal"
-122.69472897703,45.5348446458456,91,87727,"14000US41051000100","normal"
-122.694760981542,45.5355646460013,91,87727,"14000US41051000100","normal"
-122.693239978213,45.5355806519314,91,87727,"14000US41051000100","normal"
-122.694396982708,45.53598164741,91,87727,"14000US41051000100","normal"
-122.693788980962,45.5358126498459,91,87727,"14000US41051000100","normal"
-122.692763978156,45.5355646535084,91,87727,"14000US41051000100","normal"
-122.692525977333,45.5355296538518,91,87727,"14000US41051000100","normal"
-122.692352976981,45.5355136547111,91,87727,"14000US41051000100","normal"
-122.692169976184,45.5355056558107,91,87727,"14000US41051000100","normal"
-122.692022975999,45.5355106559656,91,87727,"14000US41051000100","normal"
-122.691773975442,45.5355066570802,91,87727,"14000US41051000100","normal"
-122.691429974901,45.5355246577921,91,87727,"14000US41051000100","normal"
-122.691214974954,45.5355456593132,91,87727,"14000US41051000100","normal"
-122.691022974183,45.5355696596704,91,87727,"14000US41051000100","normal"
-122.690714973534,45.5356316610331,91,87727,"14000US41051000100","normal"
-122.689691972051,45.535654664021,91,87727,"14000US41051000100","normal"
-122.688676970918,45.5356726681047,91,87727,"14000US41051000100","normal"
-122.687664968285,45.5356936720644,91,87727,"14000US41051000100","normal"
-122.686648967316,45.5357106753767,91,87727,"14000US41051000100","normal"
-122.686555966539,45.5357256761146,91,87727,"14000US41051000100","normal"
-122.686491967184,45.5357466763653,91,87727,"14000US41051000100","normal"
-122.686422967072,45.5357786761771,91,87727,"14000US41051000100","normal"
-122.686322966425,45.5358516771772,91,87727,"14000US41051000100","normal"
-122.685931964786,45.535627677765,91,87727,"14000US41051000100","normal"
-122.685846965129,45.5355766786029,91,87727,"14000US41051000100","normal"
-122.685619963844,45.5354266796288,91,87727,"14000US41051000100","normal"
-122.68559996124,45.5350176790746,91,87727,"14000US41051000100","normal"
-122.685581956516,45.5343036791145,91,87727,"14000US41051000100","normal"
-122.685554953443,45.5335906791776,91,87727,"14000US41051000100","normal"
-122.685528948775,45.5328776790179,91,87727,"14000US41051000100","normal"
