"Geo_FIPS","Geo_GEOID","Geo_NAME","Geo_QName","Geo_TRACT","SE_T061_001","TRACT","TRACT_NO","FIPS"
41051002801,"14000US41051002801","Census Tract 28.01, Multnomah County, Oregon","Census Tract 28.01, Multnomah County, Oregon",2801,91458,NA,NA,NA
41051002802,"14000US41051002802","Census Tract 28.02, Multnomah County, Oregon","Census Tract 28.02, Multnomah County, Oregon",2802,79362,NA,NA,NA
41051002901,"14000US41051002901","Census Tract 29.01, Multnomah County, Oregon","Census Tract 29.01, Multnomah County, Oregon",2901,71125,NA,NA,NA
41051002902,"14000US41051002902","Census Tract 29.02, Multnomah County, Oregon","Census Tract 29.02, Multnomah County, Oregon",2902,72484,NA,NA,NA
41051002903,"14000US41051002903","Census Tract 29.03, Multnomah County, Oregon","Census Tract 29.03, Multnomah County, Oregon",2903,60564,NA,NA,NA
41051003000,"14000US41051003000","Census Tract 30, Multnomah County, Oregon","Census Tract 30, Multnomah County, Oregon",3000,108347,NA,NA,NA
41051003100,"14000US41051003100","Census Tract 31, Multnomah County, Oregon","Census Tract 31, Multnomah County, Oregon",3100,105409,NA,NA,NA
41051003200,"14000US41051003200","Census Tract 32, Multnomah County, Oregon","Census Tract 32, Multnomah County, Oregon",3200,114896,NA,NA,NA
41051003301,"14000US41051003301","Census Tract 33.01, Multnomah County, Oregon","Census Tract 33.01, Multnomah County, Oregon",3301,69152,NA,NA,NA
41051003302,"14000US41051003302","Census Tract 33.02, Multnomah County, Oregon","Census Tract 33.02, Multnomah County, Oregon",3302,86875,NA,NA,NA
41051003401,"14000US41051003401","Census Tract 34.01, Multnomah County, Oregon","Census Tract 34.01, Multnomah County, Oregon",3401,60739,NA,NA,NA
41051003402,"14000US41051003402","Census Tract 34.02, Multnomah County, Oregon","Census Tract 34.02, Multnomah County, Oregon",3402,66207,NA,NA,NA
41051003501,"14000US41051003501","Census Tract 35.01, Multnomah County, Oregon","Census Tract 35.01, Multnomah County, Oregon",3501,75938,NA,NA,NA
41051003502,"14000US41051003502","Census Tract 35.02, Multnomah County, Oregon","Census Tract 35.02, Multnomah County, Oregon",3502,106333,NA,NA,NA
41051003601,"14000US41051003601","Census Tract 36.01, Multnomah County, Oregon","Census Tract 36.01, Multnomah County, Oregon",3601,66389,NA,NA,NA
41051003602,"14000US41051003602","Census Tract 36.02, Multnomah County, Oregon","Census Tract 36.02, Multnomah County, Oregon",3602,74688,NA,NA,NA
41051003603,"14000US41051003603","Census Tract 36.03, Multnomah County, Oregon","Census Tract 36.03, Multnomah County, Oregon",3603,69861,NA,NA,NA
41051003701,"14000US41051003701","Census Tract 37.01, Multnomah County, Oregon","Census Tract 37.01, Multnomah County, Oregon",3701,65833,NA,NA,NA
41051003702,"14000US41051003702","Census Tract 37.02, Multnomah County, Oregon","Census Tract 37.02, Multnomah County, Oregon",3702,90821,NA,NA,NA
41051003801,"14000US41051003801","Census Tract 38.01, Multnomah County, Oregon","Census Tract 38.01, Multnomah County, Oregon",3801,52614,NA,NA,NA
41051003802,"14000US41051003802","Census Tract 38.02, Multnomah County, Oregon","Census Tract 38.02, Multnomah County, Oregon",3802,63359,NA,NA,NA
41051003803,"14000US41051003803","Census Tract 38.03, Multnomah County, Oregon","Census Tract 38.03, Multnomah County, Oregon",3803,73709,NA,NA,NA
41051003901,"14000US41051003901","Census Tract 39.01, Multnomah County, Oregon","Census Tract 39.01, Multnomah County, Oregon",3901,61671,NA,NA,NA
41051003902,"14000US41051003902","Census Tract 39.02, Multnomah County, Oregon","Census Tract 39.02, Multnomah County, Oregon",3902,85000,NA,NA,NA
41051004001,"14000US41051004001","Census Tract 40.01, Multnomah County, Oregon","Census Tract 40.01, Multnomah County, Oregon",4001,40670,NA,NA,NA
41051004002,"14000US41051004002","Census Tract 40.02, Multnomah County, Oregon","Census Tract 40.02, Multnomah County, Oregon",4002,88409,NA,NA,NA
41051004101,"14000US41051004101","Census Tract 41.01, Multnomah County, Oregon","Census Tract 41.01, Multnomah County, Oregon",4101,50079,NA,NA,NA
41051004102,"14000US41051004102","Census Tract 41.02, Multnomah County, Oregon","Census Tract 41.02, Multnomah County, Oregon",4102,49756,NA,NA,NA
41051004200,"14000US41051004200","Census Tract 42, Multnomah County, Oregon","Census Tract 42, Multnomah County, Oregon",4200,59406,NA,NA,NA
41051004300,"14000US41051004300","Census Tract 43, Multnomah County, Oregon","Census Tract 43, Multnomah County, Oregon",4300,101705,NA,NA,NA
41051004500,"14000US41051004500","Census Tract 45, Multnomah County, Oregon","Census Tract 45, Multnomah County, Oregon",4500,127045,NA,NA,NA
41051004601,"14000US41051004601","Census Tract 46.01, Multnomah County, Oregon","Census Tract 46.01, Multnomah County, Oregon",4601,197639,NA,NA,NA
41051004602,"14000US41051004602","Census Tract 46.02, Multnomah County, Oregon","Census Tract 46.02, Multnomah County, Oregon",4602,181500,NA,NA,NA
41051004700,"14000US41051004700","Census Tract 47, Multnomah County, Oregon","Census Tract 47, Multnomah County, Oregon",4700,143984,NA,NA,NA
41051004800,"14000US41051004800","Census Tract 48, Multnomah County, Oregon","Census Tract 48, Multnomah County, Oregon",4800,95735,NA,NA,NA
41051004900,"14000US41051004900","Census Tract 49, Multnomah County, Oregon","Census Tract 49, Multnomah County, Oregon",4900,88412,NA,NA,NA
41051005000,"14000US41051005000","Census Tract 50, Multnomah County, Oregon","Census Tract 50, Multnomah County, Oregon",5000,97434,NA,NA,NA
41051005100,"14000US41051005100","Census Tract 51, Multnomah County, Oregon","Census Tract 51, Multnomah County, Oregon",5100,106224,NA,NA,NA
41051005200,"14000US41051005200","Census Tract 52, Multnomah County, Oregon","Census Tract 52, Multnomah County, Oregon",5200,66797,NA,NA,NA
41051005500,"14000US41051005500","Census Tract 55, Multnomah County, Oregon","Census Tract 55, Multnomah County, Oregon",5500,104261,NA,NA,NA
41051005600,"14000US41051005600","Census Tract 56, Multnomah County, Oregon","Census Tract 56, Multnomah County, Oregon",5600,87750,NA,NA,NA
41051005700,"14000US41051005700","Census Tract 57, Multnomah County, Oregon","Census Tract 57, Multnomah County, Oregon",5700,97028,NA,NA,NA
41051005800,"14000US41051005800","Census Tract 58, Multnomah County, Oregon","Census Tract 58, Multnomah County, Oregon",5800,165598,NA,NA,NA
41051005900,"14000US41051005900","Census Tract 59, Multnomah County, Oregon","Census Tract 59, Multnomah County, Oregon",5900,104265,NA,NA,NA
41051006001,"14000US41051006001","Census Tract 60.01, Multnomah County, Oregon","Census Tract 60.01, Multnomah County, Oregon",6001,143875,NA,NA,NA
41051006002,"14000US41051006002","Census Tract 60.02, Multnomah County, Oregon","Census Tract 60.02, Multnomah County, Oregon",6002,116607,NA,NA,NA
41051006100,"14000US41051006100","Census Tract 61, Multnomah County, Oregon","Census Tract 61, Multnomah County, Oregon",6100,118438,NA,NA,NA
41051006200,"14000US41051006200","Census Tract 62, Multnomah County, Oregon","Census Tract 62, Multnomah County, Oregon",6200,100156,NA,NA,NA
41051006300,"14000US41051006300","Census Tract 63, Multnomah County, Oregon","Census Tract 63, Multnomah County, Oregon",6300,126146,NA,NA,NA
41051006402,"14000US41051006402","Census Tract 64.02, Multnomah County, Oregon","Census Tract 64.02, Multnomah County, Oregon",6402,124083,NA,NA,NA
41051006403,"14000US41051006403","Census Tract 64.03, Multnomah County, Oregon","Census Tract 64.03, Multnomah County, Oregon",6403,86705,NA,NA,NA
41051006404,"14000US41051006404","Census Tract 64.04, Multnomah County, Oregon","Census Tract 64.04, Multnomah County, Oregon",6404,104286,NA,NA,NA
41051006501,"14000US41051006501","Census Tract 65.01, Multnomah County, Oregon","Census Tract 65.01, Multnomah County, Oregon",6501,103531,NA,NA,NA
41051006502,"14000US41051006502","Census Tract 65.02, Multnomah County, Oregon","Census Tract 65.02, Multnomah County, Oregon",6502,76023,NA,NA,NA
